Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1
4632953775,EXM3315,NY,PAS,4/25/2017,36,2DSD,HONDA,V,
8581153938,X89HVW,NJ,PAS,6/14/2017,21,4DSD,BMW,T,1659
4007124590,T715907C,NY,OMT,4/3/2017,5,SUBN,TOYOT,V,
8170080708,HHC5057,NY,PAS,1/14/2017,38,4DSD,TOYOT,T,545
8485652319,0480PRA,MN,PAS,1/26/2017,19,DELV,FRUEH,T,3457
7640787490,GTS6000,NY,PAS,10/20/2016,38,SUBN,HONDA,T,1594
1418609274,8P82H,NY,OMT,12/21/2016,14,TAXI,NISSA,P,
8536008374,FAD5808,NY,PAS,5/17/2017,20,SUBN,JEEP,T,7322
4006943052,2AE3984,MD,PAS,2/1/2017,5,SW,LINCO,V,
8482331425,86609MB,NY,COM,6/18/2017,13,VAN,CHEVR,T,151
7755149869,GPK7120,NY,PAS,10/13/2016,37,4DSD,INFIN,T,2975
8237524573,CMD1897,NY,PAS,10/19/2016,21,4DSD,FORD,T,5469
4628920278,FXX8143,NY,PAS,1/3/2017,36,4DSD,TOYOT,V,
5092750364,DPH8955,NY,PAS,7/27/2016,7,SUBN,HONDA,V,
8504710749,AB157N,NJ,PAS,3/3/2017,46,DELV,FRUEH,T,1535
1418138575,GML6346,NY,PAS,12/19/2016,21,SDN,HONDA,S,143
8177030073,FPN6798,NY,PAS,7/22/2016,21,SUBN,HONDA,T,628
8261064578,GSM5317,NY,PAS,11/14/2016,37,4DSD,KIA,T,184
7128799357,ZPBEAR,NY,SRF,9/29/2016,37,CONV,BMW,T,5379
1405823926,GDV1998,NY,PAS,5/1/2017,71,SUBN,HYUND,P,3164
8308520170,49033ME,NY,COM,7/14/2016,16,VAN,FORD,T,1855
8023492410,DYB1485,NY,PAS,10/4/2016,20,4DSD,NISSA,T,541
8081576769,19662JA,NY,COM,12/19/2016,37,VAN,GMC,T,1841
4622257713,GUG8491,NY,PAS,7/14/2016,36,SUBN,CHEVR,V,
8562250776,FFL7741,NY,PAS,5/8/2017,38,SUBN,TOYOT,T,
4633560232,B77FRW,NJ,PAS,5/8/2017,36,WAGO,HONDA,V,
8543009080,GJA1784,NY,PAS,6/2/2017,20,SUBN,HONDA,T,5943
8553659872,36012JH,NY,COM,6/5/2017,40,VAN,GMC,T,5189
5094906770,G30ESY,NJ,PAS,1/1/2017,7,WAGO,CHRYS,V,
7536689184,ZCL5723,PA,PAS,1/26/2017,14,VAN,CHEVR,T,3153
8497957076,55507JZ,NY,COM,3/20/2017,47,DELV,MITSU,T,121
8400523477,HKT1200,NY,PAS,11/28/2016,71,4DSD,NISSA,T,1438
8505159536,41795JX,NY,COM,3/9/2017,14,VAN,FORD,T,1361
8470029381,HAL3075,NY,PAS,2/17/2017,21,2DSD,TOYOT,T,674
7487986524,AVS4503,NY,PAS,9/16/2016,20,PICK,HONDA,T,1314
1400876217,GVB9839,NY,PAS,9/19/2016,21,P-U,CHEVR,S,3329
8422555566,HDF6978,NY,PAS,2/25/2017,46,SUBN,ME/BE,T,3555
8552002887,GTP5204,NY,PAS,4/24/2017,31,PICK,DODGE,T,3447
8503278601,HPW9117,NY,PAS,5/27/2017,46,SUBN,ROVER,T,2179
8150083686,67754MC,NY,COM,11/16/2016,40,DELV,UPS,T,2433
8539607141,49783MA,NY,COM,5/5/2017,46,DELV,KENWO,T,
7238369850,GKB2710,NY,PAS,7/25/2016,37,SUBN,TOYOT,T,638
7079854404,T656205C,NY,OMT,1/28/2017,51,4DSD,TOYOT,T,4829
8126033526,67815MC,NY,COM,10/24/2016,47,VAN,FORD,T,1799
8145014311,HJV3061,NY,PAS,12/13/2016,71,SUBN,CHRYS,T,3622
8483357380,70728MD,NY,COM,2/3/2017,47,VAN,FORD,T,347
8377006390,GCR2084,NY,PAS,7/19/2016,48,4DSD,HONDA,T,5952
8482178982,76691MH,NY,COM,4/24/2017,47,VAN,FRUEH,T,181
1417599716,12203MG,NY,COM,12/1/2016,46,VAN,FRUEH,P,2569
7813974049,GLS7002,NY,PAS,9/9/2016,40,SUBN,FORD,T,2969
8149510126,GTP8988,NY,PAS,8/10/2016,16,2DSD,SMART,T,4133
